experience_level,job_title,salary_in_usd
EX,Principal Data Engineer,600000.0
MI,Financial Data Analyst,450000.0
MI,Applied Machine Learning Scientist,423000.0
EX,Principal Data Scientist,416000.0
MI,ML Engineer,270000.0
SE,ML Engineer,256000.0
SE,Machine Learning Scientist,242500.0
EX,Head of Data,232500.0
EN,Machine Learning Scientist,225000.0
EX,Director of Data Science,207669.0
SE,Machine Learning Infrastructure Engineer,195000.0
SE,Lead Data Scientist,190000.0
MI,Research Scientist,189776.0
SE,Principal Data Scientist,186163.0
SE,Principal Data Engineer,185000.0
MI,Data Architect,180000.0
SE,Principal Data Analyst,170000.0
SE,Lead Data Analyst,170000.0
SE,Director of Data Science,168000.0
SE,Lead Data Engineer,166188.0
SE,Data Specialist,165000.0
SE,Data Engineering Manager,163500.0
SE,Cloud Data Engineer,160000.0
SE,Director of Data Engineering,157062.0
MI,Principal Data Scientist,151000.0
EX,BI Data Analyst,150000.0
SE,Manager Data Science,144000.0
MI,Business Data Analyst,135000.0
SE,Data Science Manager,133071.0
SE,Data Science Engineer,127543.0
SE,Data Analytics Manager,126667.0
SE,Data Scientist,121582.0
MI,Lead Data Scientist,115000.0
SE,Data Engineer,113747.0
SE,Big Data Engineer,111536.0
MI,Head of Data Science,110000.0
MI,Data Analytics Engineer,110000.0
SE,Machine Learning Engineer,109547.0
SE,Staff Data Scientist,105000.0
SE,Data Analyst,104084.0
EN,Machine Learning Engineer,103697.0
MI,Data Science Consultant,103000.0
SE,Big Data Architect,99956.0
MI,Computer Vision Software Engineer,96554.0
MI,Cloud Data Engineer,89514.0
SE,Marketing Data Analyst,89402.0
EX,Head of Data Science,85000.0
EX,Data Engineering Manager,79833.0
EN,Business Data Analyst,79800.0
MI,BI Data Analyst,78244.0
MI,Data Engineer,77794.0
EN,Research Scientist,75000.0
MI,Data Scientist,72486.0
EX,Data Science Consultant,70329.0
EN,Computer Vision Software Engineer,70000.0
SE,Research Scientist,69209.0
SE,Data Analytics Engineer,64933.0
EN,Data Science Consultant,63008.0
MI,Data Analyst,62697.0
SE,Finance Data Analyst,62250.0
EN,Data Analyst,58584.0
MI,Lead Data Engineer,56000.0
SE,AI Scientist,55000.0
MI,Machine Learning Engineer,54429.0
MI,Applied Data Scientist,54376.0
MI,Lead Data Analyst,53330.0
MI,Machine Learning Infrastructure Engineer,50180.0
EN,Data Scientist,49330.0
EN,Data Engineer,46391.0
MI,Data Science Engineer,40529.0
SE,Computer Vision Engineer,39526.0
EN,Computer Vision Engineer,28850.0
EN,AI Scientist,22000.0
MI,Big Data Engineer,20336.0
EN,ML Engineer,15966.0
MI,Machine Learning Scientist,12000.0
EN,Big Data Engineer,11084.0
EN,BI Data Analyst,9272.0
MI,Product Data Analyst,6072.0
MI,3D Computer Vision Researcher,5423.0
