job_title,salary_in_usd
Financial Data Analyst,450000.0
Applied Machine Learning Scientist,423000.0
Principal Data Engineer,392500.0
Head of Data,232500.0
Principal Data Scientist,225097.8
Director of Data Science,197751.5
ML Engineer,180655.33333333334
Machine Learning Scientist,180500.0
Data Architect,180000.0
Principal Data Analyst,170000.0
Data Specialist,165000.0
Director of Data Engineering,157062.5
Lead Data Scientist,152500.0
Lead Data Engineer,144150.0
Manager Data Science,144000.0
Data Engineering Manager,135611.0
Data Science Manager,133071.0
Data Analytics Manager,126666.66666666667
Cloud Data Engineer,124757.0
Machine Learning Infrastructure Engineer,122590.0
Research Scientist,119173.2
Staff Data Scientist,105000.0
Big Data Architect,99956.0
Business Data Analyst,98200.33333333333
Head of Data Science,97500.0
Lead Data Analyst,92220.33333333333
Machine Learning Engineer,90964.0
Marketing Data Analyst,89402.0
Data Science Engineer,84036.0
Computer Vision Software Engineer,83277.0
Data Engineer,82177.52631578948
Data Analytics Engineer,79955.33333333333
BI Data Analyst,78800.8
Data Scientist,76537.10169491525
Data Science Consultant,69766.71428571429
Data Analyst,69329.15
Finance Data Analyst,62250.0
Applied Data Scientist,54376.0
Big Data Engineer,47651.833333333336
Computer Vision Engineer,35967.333333333336
AI Scientist,28599.6
Product Data Analyst,6072.0
3D Computer Vision Researcher,5423.0
